Question_EN,Question_TL,Answer,Source,Category
"What is the significance of declaring a ""Hygiene and Sanitation Week"" in Quezon City every 3rd week of March?","Ano ang kahalagahan ng pagdedeklara ng ""Hygiene and Sanitation Week"" sa Quezon City tuwing ikatlong linggo ng Marso?","Declaring a ""Hygiene and Sanitation Week"" in Quezon City every 3rd week of March aims to promote awareness about best health and hygiene practices, proper waste disposal, and regular disinfection operations. This initiative is intended to combat poverty and prevent disease outbreaks, such as COVID-19, by encouraging active participation among the city's inhabitants.","SP-3011, S-2021",Operative
What could be the potential impact on vendors and the public with the update of the Market Code in Quezon City?,Ano ang posibleng maging epekto sa mga nagtitinda at sa publiko ng pag-update ng Market Code sa Quezon City?,"The update of the Market Code in Quezon City aims to improve the facilities, management, and operation of public markets and related activities. This could result in enhanced safety, comfort, and convenience for both vendors and the buying public. Making the market more responsive to contemporary demands could also lead to a more accountable and efficient market operation, potentially benefitting all stakeholders involved.","SP-0944, S-2000",Preamble
"What are the conditions under which wakes or ""burol"" can be held for non-COVID-19 related deaths according to the amended ordinance?",Ano ang mga kondisyon kung saan maaaring magkaroon ng burol para sa mga pagkamatay na hindi kaugnay ng COVID-19 ayon sa binagong ordinansa?,"For non-COVID-19 related deaths, the family can choose between burial or cremation. After cremation, or in the case of a non-COVID-19 death, the remains can be displayed for a wake or burol for a maximum of three days. The immediate family, defined as parents, children, and spouse, can attend the wake. If the wake is held at home, members of the household may also participate, subject to guidelines set by local authorities.","SP-3080, S-2021",Operative
How does this ordinance seek to protect the employment rights of solo parents in the workplace?,Paano sinusubukan ng ordinansang ito na protektahan ang mga karapatan ng mga solong magulang sa kanilang trabaho?,"The ordinance protects the employment rights of solo parents by prohibiting employers from discriminating against solo parent employees regarding the terms and conditions of employment based on their status. It allows for flexible working schedules and promotes telecommuting options, ensuring these adjustments do not affect the individual's or the company's productivity. Employers can request exemptions due to meritorious reasons from the Department of Labor and Employment.","SP-3299, S-2024",Operative
What criteria must a resident of Quezon City meet to qualify for the Betty Go-Belmonte Research Grants Program?,Ano ang mga pamantayan na dapat matugunan ng isang residente ng Lungsod Quezon upang maging kwalipikado sa Betty Go-Belmonte Research Grants Program?,"To qualify for the Betty Go-Belmonte Research Grants Program, an applicant must be a Filipino citizen and resident of Quezon City, have an approved research, thesis, or dissertation proposal from their higher education institution, demonstrate leadership and exceptional performance, show enthusiasm for undergoing further training, and undertake research beneficial to the City.","SP-3174, S-2023",Operative
What are the potential benefits for Quezon City residents of having a Unified Quezon City Identification Card?,Ano ang mga potensyal na benepisyo para sa mga residente ng Quezon City sa pagkakaroon ng Unified Quezon City Identification Card?,"The Unified Quezon City Identification Card provides several benefits to residents, such as serving as valid proof of identity, simplifying transactions with private and public institutions, and enabling easier access to city services. It also helps the city maintain a complete and accurate database of constituents, facilitating more efficient delivery of social services and emergency relief operations. Additionally, cardholders can enjoy services such as free city bus transportation and participate in various social service programs.","SP-3041, S-2021",Preamble
What will happen to the assets and personnel of the Holy Spirit National High School-Annex after it becomes an independent high school?,Ano ang mangyayari sa mga ari-arian at tauhan ng Holy Spirit National High School-Annex kapag ito ay naging isang independiyenteng mataas na paaralan?,"All assets, real and personal, personnel, and records of the Holy Spirit National High School-Annex will be transferred to the separate and independent high school upon the effectivity of the Ordinance. All plantilla positions will be retained, ensuring the rights and security of tenure of teachers and personnel under existing laws and regulations.","SP-3035, S-2021",Operative
What is the significance of Quezon City University's Institutional Recognition in relation to its ability to operate and access resources?,Ano ang kahalagahan ng Institutional Recognition ng Quezon City University kaugnay ng kakayahan nitong mag-operate at maka-access ng mga pinagkukunan?,"The Institutional Recognition is a requirement for all Local Universities and Colleges, like Quezon City University, to comply in order to operate as a university and avail of programs and resources offered by the Commission on Higher Education. This recognition is crucial for the university's functioning and ability to leverage available educational support and resources.","SP-2997, S-2021",Operative
What is the significance of amending the resolution to authorize the new City Mayor to acquire the land for the housing project?,Ano ang kahalagahan ng pag-amyenda ng resolusyon para bigyang kapangyarihan ang bagong Punong Lungsod na makuha ang lupa para sa proyekto ng pabahay?,"The amendment of the resolution is significant because it transfers the authority to negotiate and acquire the land for the socialized housing project from the former City Mayor to the current City Mayor. This change is necessary to ensure that the acquisition process can continue under the leadership of the new mayor and the intended beneficiaries, the informal settler families, can eventually benefit from the project.","SP-8135, S-2020",Operative
What are the requirements for artists who want to paint on the designated art expression walls in Quezon City?,Ano ang mga kinakailangan para sa mga artist na nais magpinta sa designated art expression walls sa Lungsod ng Quezon?,"Artists interested in painting on the designated art expression walls must first coordinate with the Barangay where the wall is located to schedule their activities. They must also use non-toxic, lead-free paint. Their artwork can remain on the wall for a maximum period of 3 months, and no political artworks are allowed during election periods.","SP-3148, S-2022",Operative
What is the significance of amending the project name and completing the address in the original resolution?,Ano ang kahalagahan ng pagbabago ng pangalan ng proyekto at pagkompleto ng address sa orihinal na resolusyon?,"Amending the project name and completing the address in the original resolution ensures that all legal and official documents accurately reflect the current entity managing the project and its precise location. This can help prevent legal issues, ensure clear communication between entities, and provide transparency to the public about who is responsible for the project.","SP-8974, S-2022",Operative
What is the financial implication for the Quezon City Government in granting the additional incentive to all its employees?,Ano ang implikasyon sa pananalapi para sa Pamahalaang Lungsod ng Quezon sa pagbibigay ng karagdagang insentibo para sa lahat ng empleyado nito?,"The financial implication for the Quezon City Government is that it will have to allocate funds to cover the total amount of the additional incentive, which is Ten Thousand Pesos (Php10,000.00) per employee, from any available funds. This could affect the budget allocation for other projects or expenses of the city.","SP-3062, S-2021",Operative
"What are the conditions that must be met for the issuance of a Special Use Permit for the operation of a transport garage/parking, according to the document?","Ano ang mga kundisyon na dapat matugunan para sa paglabas ng isang Special Use Permit para sa operasyon ng isang transport garage/parking, ayon sa dokumento?","The conditions for the issuance of a Special Use Permit include ensuring that the exception will not adversely affect public health, safety, and welfare, and is consistent with the general pattern of development in the community. The proposed project must support economic-based activities, provide livelihood, vital community services and facilities, and not negatively impact the zone or community. Additionally, it must not affect the appropriate use of adjoining properties in the same district and should not alter the essential character and general purpose of the district where the exception is sought.","SP-8990, S-2022",Preamble
"What is the impact of extending the deadline for the first quarter real property tax payment from March 31 to April 20, 2021?","Ano ang magiging epekto ng pagpapalawig ng deadline para sa pagbabayad ng real property tax ng unang quarter mula Marso 31 hanggang Abril 20, 2021?","Extending the deadline for the first quarter real property tax payment provides property owners in Quezon City with additional time to fulfill their tax obligations amid movement restrictions due to the Enhanced Community Quarantine. This extension is intended to ease the financial burden and logistical challenges faced by residents during the pandemic, while still enabling the local government to collect necessary taxes.","SP-3017, S-2021",Operative
"What is the significance of the Certificate of Exception granted to the STI Residential, Commercial, and Office Tower Project in Quezon City?","Ano ang kabuluhan ng Certificate of Exception na iginawad sa STI Residential, Commercial, at Office Tower Project sa Quezon City?","The Certificate of Exception allows the STI Residential, Commercial, and Office Tower Project to deviate from the current zoning classification and Floor Area Ratio (FAR) provisions set in the Comprehensive Zoning Ordinance of 2016 for Quezon City. This exemption is required because the proposed project does not conform to these zoning regulations. Despite the deviation, it is deemed not to adversely affect public health, safety, and welfare, and aligns with the general pattern of development in the community.","SP-9371, S-2023",Introduction
What impact does the increase in rice assistance for Quezon City Hall regular employees have on their financial well-being?,Anong epekto ng pagtaas ng tulong sa bigas para sa mga regular na empleyado ng Quezon City Hall sa kanilang kaginhawaan sa pananalapi?,"The increase in rice assistance from PHP1,500.00 to PHP2,000.00 per quarter is intended to help alleviate the economic challenges faced by Quezon City Hall regular employees. This subsidy aims to support the employees by providing additional financial aid to cope with the rising cost of rice and other basic commodities, thereby contributing to their overall financial well-being and ensuring decent living standards.","SP-2727, S-2018",Preamble
What could be the consequence if a member of the Quezon City Council does not comply with the dress code ordinance during the month of August sessions?,Ano ang posibleng mangyari kung ang isang miyembro ng Konseho ng Lungsod ng Quezon ay hindi sumunod sa ordinansa ng dress code sa mga sesyon sa buwan ng Agosto?,"If a member of the Quezon City Council does not comply with the ordinance requiring them to wear Barong Tagalog or simple Filipiniana inspired attire during the August sessions, they may face disciplinary action in accordance with the Internal Rules of Procedure of the Quezon City Council.","SP-3141, S-2022",Operative
What are the potential penalties for candidates who fail to clean up their campaign waste materials in Quezon City within the specified time frame after an election?,Ano ang mga posibleng parusa para sa mga kandidato na hindi malinis ang kanilang mga campaign waste materials sa Quezon City sa loob ng tinakdang oras pagkatapos ng halalan?,"A violation of the ordinance requiring candidates to remove their campaign waste materials within fourteen days after an election is penalized by a fine of Five Thousand Pesos (Php5,000.00) or imprisonment of one (1) year, or both such fine and imprisonment at the discretion of the court.",SP-3166 S-2022,Operative
What are the potential consequences for a business establishment in Quezon City if it is found non-compliant with the CCTV ordinance after the first violation?,Ano ang mga posibleng parusa para sa isang negosyo sa Quezon City kung ito ay napatunayang hindi sumunod sa CCTV ordinansa matapos ang unang paglabag?,"According to the ordinance, if a business establishment in Quezon City is found non-compliant with the CCTV requirements after the first violation, a fine not exceeding Five Thousand Pesos (Php5,000.00) can be imposed. Continued or subsequent failure to comply with the ordinance's provisions may also lead to the suspension, revocation, or cancellation of the establishment's business permit.","SP-2139, S-2012",Operative
What provision does the ordinance provide for deferring the ban on brown bags during a state of calamity?,Anong probisyon ang ibinibigay ng ordinansa para ipagpaliban ang pagbabawal sa brown bags sa panahon ng kalamidad?,"The ordinance allows the City Mayor to defer the implementation of the ban on brown bags while the city is under a state of calamity, such as during the COVID-19 pandemic. The deferment can be done for six-month periods, based on prevailing economic conditions and other relevant considerations.","SP-3066, S-2021",Operative
What is the significance of the partnership between the Quezon City Government and private organizations for the COVID-19 vaccination efforts in Quezon City?,Ano ang kahalagahan ng pakikipagtulungan sa pagitan ng Pamahalaang Lungsod ng Quezon at pribadong mga organisasyon para sa mga pagsusumikap sa pagbabakuna ng COVID-19 sa Lungsod Quezon?,"The partnership allows the Quezon City Government to collaborate with private organizations to enhance their COVID-19 vaccination efforts by combining resources and manpower. This cooperation enables the rapid inoculation of a larger number of residents and workers in Quezon City. By including volunteers and medical workers from partner organizations, the City Government can increase the capacity and efficiency of its vaccination sites, while ensuring personnel from the member companies of these organizations are also vaccinated under the city’s supervision.","SP-8569, S-2021",Preamble
"What is the requirement for establishments in Quezon City regarding the KyusiPass system by August 15, 2021?","Ano ang kinakailangan para sa mga establisyimento sa Lungsod Quezon patungkol sa sistema ng KyusiPass hanggang Agosto 15, 2021?","Establishments in Quezon City are required to prepare their QR Code scanner system for the full implementation of the KyusiPass contact tracing method by August 15, 2021.","SP-3033, S-2021",Operative
What are the steps and requirements for a vehicle using alternative fuel to be exempt from the Vehicular Volume Reduction Scheme in Quezon City?,Ano ang mga hakbang at kinakailangan para ma-exempt ang isang sasakyang gumagamit ng alternatibong fuel mula sa Vehicular Volume Reduction Scheme sa Lungsod Quezon?,"To be exempt from the Vehicular Volume Reduction Scheme, the vehicle owner must submit a duly accomplished application form, the Certificate of Registration of the vehicle, and proof of payment of the filing fee. The vehicle must then undergo a mandatory inspection at the Department of Public Order and Safety Office. If all documents are complete and in order, a sticker with the signature of the City Mayor will be issued, which must be placed on the vehicle's windshield. Vehicles using alternative fuel but without the required sticker are not exempt.","SP-2398, S-2016",Operative
What is the significance of including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City?,Ano ang kahalagahan ng pagsasama ng pagsunod sa Ease of Doing Business Act bilang pamantayan para sa magandang lokal na pamamahala sa Lungsod Quezon?,"Including compliance with the Ease of Doing Business Act as a criterion for good local governance in Quezon City emphasizes the importance of efficient and streamlined government services. It aims to reduce bureaucracy and improve the quality of service delivery at the barangay level, thereby ensuring that government operations are more accessible and responsive to the needs of the constituents.","SP-3125, S-2022",Preamble
What are the benefits and incentives provided to Quezon City Barangay Health Workers under this ordinance?,Ano ang mga benepisyo at insentibo na ibinibigay sa Barangay Health Workers ng Quezon City sa ilalim ng ordinansang ito?,"Under this ordinance, Quezon City Barangay Health Workers (QC-BHWs) are entitled to various local benefits and incentives, which include identification cards, uniforms, a health kit, sponsored PhilHealth membership, educational assistance for themselves or their children, accident insurance, funeral and burial assistance, a retirement benefit of Twenty Thousand Pesos for those who have provided continuous service for at least ten years, and livelihood assistance when separating from service. These benefits are provided as part of an effort to support QC-BHWs in performing their duties and to recognize their contributions to the community.","SP-2445, S-2015",Operative
What is the significance of the City Council extending congratulations to a citizen for their academic achievements?,Ano ang kahalagahan ng pagbati ng Konseho ng Lungsod sa isang mamamayan para sa kanilang tagumpay sa akademya?,"The City Council's congratulations serve to formally recognize and celebrate the individual's outstanding academic achievement, which brings pride to the community. It also serves as an inspiration for young people, encouraging them to pursue excellence and diligence in their studies.","SP-9008, S-2022",Operative
What is the significance of allocating at least Twelve Million Pesos for the pneumococcal vaccination program for senior citizens in Quezon City?,Ano ang kahalagahan ng paglaan ng hindi bababa sa Labindalawang Milyong Piso para sa programang pagbabakuna ng mga senior citizen laban sa pneumococcal sa Lungsod Quezon?,"The allocation of at least Twelve Million Pesos for the pneumococcal vaccination program ensures that there are sufficient funds to purchase and provide 23-valent Polysaccharide vaccines to senior citizens across the six districts of Quezon City. This budget is designed to address the needs of senior citizens who have not yet been vaccinated, helping to improve their health and prevent diseases, and can be adjusted in the future based on the number of registered senior citizens requiring vaccination.","SP-2699, S-2018",Operative
What are the expected benefits and developments that the community anticipates from the construction of the Caltex Gasoline Refilling Station?,Ano ang mga inaasahang benepisyo at pag-unlad na inaasahan ng komunidad mula sa pagtatayo ng Caltex Gasoline Refilling Station?,"The community anticipates benefits and development from the construction of the Caltex Gasoline Refilling Station, which is why the Sangguniang Barangay of Balingasa did not object to the proposed project.","SP-8984, S-2022",Preamble
"What conditions could lead to the annulment of the Special Use Permit issued to Victory Liner, Inc. for their bus terminal?","Anong mga kondisyon ang maaaring magresulta sa pag-alis ng Special Use Permit na inisyu sa Victory Liner, Inc. para sa kanilang bus terminal?","The Special Use Permit (SUP) for Victory Liner, Inc.'s bus terminal could be annulled if the Land Transportation Franchising and Regulatory Board (LTFRB) revokes its franchise, or if there is a violation of applicable special laws, rules, and regulations.","SP-8985, S-2022",Operative
What is the purpose of creating a Gender and Development (GAD) Council Office in Quezon City?,Ano ang layunin ng pagbuo ng Gender and Development (GAD) Council Office sa Lungsod Quezon?,"The purpose of creating a GAD Council Office in Quezon City is to monitor and implement gender and development plans, programs, and activities from the barangay to the city level. It aims to promote women's empowerment and gender equality, ensure the compliance of the city government with relevant legal frameworks, and provide secretariat support to ensure gender-responsive governance. The office also develops and implements capacity-building activities, establishes gender-responsive knowledge centers, and produces reports on gender issues for submission to relevant agencies.","SP-3157, S-2022",Operative
What role does the City Council play in the appointment of department heads by the City Mayor according to the Local Government Code?,Ano ang papel ng Konseho ng Lungsod sa pagtatalaga ng mga pinuno ng departamento ng Alkalde ng Lungsod ayon sa Local Government Code?,"The City Council must concur with the appointments of department and office heads made by the City Mayor, ensuring that such appointments meet the procedural and substantive requirements set forth by the Civil Service Rules and Regulations.","SP-8989, S-2022",Preamble
What are the benefits for existing buildings that comply with the ordinance by dedicating rooftop space for vegetation?,Ano ang mga benepisyo para sa mga kasalukuyang gusali na sumusunod sa ordinansa sa pamamagitan ng paglaan ng espasyo sa bubong para sa mga halaman?,Existing buildings that devote at least thirty percent of their roof areas for plants and trees are entitled to a discount on the real property tax equivalent to the assessed value of the floor area dedicated to plants and trees. This discount is available for ten years starting from the completion of the improvement.,"SP-1940, S-2009",Operative
What is the purpose of the resolution encouraging parents in Quezon City to vaccinate their children against COVID-19 before the resumption of face-to-face classes?,Ano ang layunin ng resolusyon na hikayatin ang mga magulang sa Lungsod Quezon na pabakunahan ang kanilang mga anak laban sa COVID-19 bago ang pagbabalik ng face-to-face classes?,"The resolution aims to encourage parents to vaccinate their children against COVID-19 to ensure their safety and health protection during the return to face-to-face classes in both public and private schools. This is also part of the effort to prevent the spread of the disease, thus contributing to the overall public health welfare.","SP-9049, S-2022",Operative
What is the purpose of the financial assistance granted to the Quezon City Unified Retired Teachers' Association (URTASI) by the Quezon City Government?,Ano ang layunin ng pinansyal na tulong na ipinagkaloob ng Pamahalaang Lungsod ng Quezon City sa Quezon City Unified Retired Teachers' Association (URTASI)?,"The financial assistance granted to URTASI is intended to support their Mutual Aid Program, Health and Wellness Program, social and cultural activities, and maintenance and operational expenses. This includes providing medical assistance and death aid to its members.","SP-8962, S-2022",Introduction
What requirements must large gambling establishments in Quezon City fulfill to obtain a fixed term special permit?,Ano ang mga kinakailangan na dapat tuparin ng malalaking establisimyento ng pagsusugal sa Quezon City upang makakuha ng fixed term special permit?,"Large gambling establishments with a paid-up capitalization of at least One Billion Pesos and a license from the Philippine Amusement and Gaming Corporation (PAGCOR) are automatically entitled to a fixed term special permit coterminous with their PAGCOR license. However, they are required to secure a Letter of No Objection from the Office of the City Mayor, a function delegated to the Chief of the Business Permits and Licensing Department (BPLD).","SP-2860, S-2019",Operative
What roles do the Office of the City Mayor and the Schools Division Office of Quezon City play in the conservation of Gabaldon Hall?,Ano ang mga tungkulin ng Tanggapan ng Alkalde ng Lungsod at ng Tanggapan ng Dibisyon ng mga Paaralan ng Lungsod ng Quezon sa pangangalaga ng Gabaldon Hall?,"The Office of the City Mayor and the Schools Division Office of Quezon City are responsible for implementing a program for the conservation of the Gabaldon Hall. They are required to consult with the Department of Education, National Commission for Culture and the Arts, and the National Historical Commission of the Philippines to ensure proper conservation efforts are undertaken.","SP-3152, S-2022",Operative
What benefit does the Office of Councilor Eric Z. Medina receive from the transfer of vehicle ownership without cost?,Anong benepisyo ang makukuha ng Tanggapan ni Konsehal Eric Z. Medina mula sa paglilipat ng pagmamay-ari ng sasakyan na walang bayad?,"The Office of Councilor Eric Z. Medina benefits by receiving a service and monitoring vehicle, which facilitates the implementation and monitoring of various programs and projects within their district. The office can move personnel more quickly and efficiently deliver public services, while saving funds that would otherwise be spent on annual insurance coverage and renewal registration.","SP-8996, S-2022",Preamble
What is the consequence of changing the project name and completing the address in the resolution for the gasoline station?,Ano ang magiging epekto ng pagbabago ng pangalan ng proyekto at pagkumpleto ng address sa resolusyon para sa gasolinahan?,"The consequence of changing the project name and completing the address in the resolution ensures that all legal and official documents reflect the accurate name of the entity responsible for the project, ""Mapletree Holdings, Inc."" This change will also ensure that the precise location of the project is correctly documented as No. 93 Timog Avenue corner Scout Ybardolaza Street, Barangay Sacred Heart, District IV, Quezon City.","SP-8988, S-2022",Operative
What is the purpose of the Health Facilities Enhancement Program (HFEP) mentioned in the document?,Ano ang layunin ng Health Facilities Enhancement Program (HFEP) na binanggit sa dokumento?,The purpose of the Health Facilities Enhancement Program (HFEP) is to improve the delivery of health services by upgrading health facilities and providing medical equipment to make them more responsive to the health needs of the inhabitants.,"SP-8033, S-2019",Preamble
What are the benefits of granting a longevity pay to non-teaching personnel in Quezon City?,Ano ang mga benepisyo ng pagbibigay ng longevity pay sa mga hindi nagtuturo na tauhan sa Lungsod ng Quezon?,Granting longevity pay to non-teaching personnel in Quezon City is intended to improve their living conditions and increase their efficiency and effectiveness as public officials. It is a financial assistance that acknowledges their continuous service and contributes to their welfare.,"SP-2831, S-2019",Preamble
What are the implications of institutionalizing the Q City Bus Program as part of the Quezon City Government's transportation system?,Ano ang mga implikasyon ng pag-iinstitusyunalisasyon ng Q City Bus Program bilang bahagi ng sistema ng transportasyon ng Pamahalaang Lungsod ng Quezon City?,"Institutionalizing the Q City Bus Program ensures its sustainability and continued operation as part of the city's managed public transportation services. It means that the program will be officially recognized and funded through the city's budget, aiming to provide safe, convenient, and reliable transportation for residents and individuals working or studying in Quezon City. This institutionalization signifies a commitment to maintaining and potentially expanding the program, prioritizing environmental sustainability, good governance, and accountability.","SP-3184, S-2023",Operative
