Page number,Layout,Text,Reading Order,Confidence score % (Layout)
8,Text 63,"(5.1) Exclusion - Denying access to opportunities, services or facilities that are available to others based on their cancer status;",92,96.826171875
8,Text 64,(5.2) Unequal Treatment - Providing less favorable conditions or treatment to cancer patients or survivors compared to others in similar circumstances;,93,96.484375
8,Text 65,"(5.3) Harassment - Subjecting cancer patients or survivors to unwanted and offensive conduct related to their cancer status, which creates a hostile environment;",94,96.826171875
8,Text 66,(5.4) Bias - Making decisions or forming opinions about cancer patients or survivors that are influenced by stereotypes or misconceptions about their condition.,95,96.09375
8,Text 67,SECTION 4. PROHIBITED CONDUCTS/ACTS -,96,58.88671875
8,Text 68,"(a) No educational institution shall refuse admission, expel, discipline, segregate or deny participation, benefits or services to a student or prospective student on the basis of his/her condition as a cancer patient.",98,97.55859375
8,Text 69,(b) No cancer patient shall be deprived of the right to ride in any transportation.,99,97.802734375
8,Text 70,"(c) No business establishment, such as restaurants, shall deny any cancer patient from entering its premises and availing of its services.",100,97.705078125
8,Text 71,(d) A deceased cancer patient shall not be denied any kind of decent burial services.,101,96.435546875
8,Text 72,"(e) No person shall inquire about an individual's medical history related to the individual's ability to perform a particular job or task, or to determine eligibility for a particular benefit or service.",102,95.8984375
8,Text 73,"SECTION 5. SCOPE OF PROTECTION. - The protection provided by this Ordinance shall apply to all acts of bullying occurring in any setting, including, but not limited to, schools, workplaces, public places and online platforms.",103,92.529296875
9,Text 76,SECTION 6. PENALTIES. -,109,48.046875
9,Text 77,"(a) Any person, or in the case of an entity, the responsible officer, found to have committed any of the prohibited acts enumerated in Section 4 hereof shall, upon due notice and trial, suffer a fine not exceeding Php5,000.00 or imprisonment for a period of not exceeding 1 year, or both, in the discretion of the court, and without prejudice to such person or entity's liability for civil damages in a case which may independently be filed against him/her.",111,97.55859375
9,Text 78,"(b) In addition to the criminal and civil liability provided in this Ordinance, the revocation or cancellation of an establishment's business permit shall be imposed on any establishment found to have committed any of the prohibited acts enumerated in Section 4 hereof.",112,96.6796875
9,Text 79,"(c) In case a public officer commits any of the prohibited acts enumerated in Section 4 hereof, he/she shall be dealt with administratively in addition to his/her criminal and civil liability provided herein.",113,96.435546875
9,Text 80,"(d) Any individual who believes they have been bullied, harassed or discriminated, as defined and prohibited in this Ordinance, may seek assistance from the Barangay, Department of Public Order and Safety, City Health Department, and file a complaint with the proper tribunal or office.",114,96.435546875
9,Text 81,"SECTION 7. IMPLEMENTING RULES AND REGULATIONS. - The City Health Department shall be the lead office to formulate the necessary rules and regulations for the effective implementation of this Ordinance, together with the other concerned departments and offices, within 90 days from the effectivity of this Ordinance.",115,96.630859375
9,Text 82,"SECTION 8. REPEALING CLAUSE. - All ordinances, resolutions, executive orders, memorandum circulars, and other administrative orders or parts thereof which are inconsistent with any provisions of this Ordinance are hereby repealed or modified accordingly.",116,96.728515625
9,Text 83,"SECTION 9. SEPARABILITY CLAUSE. - If any provision of this Ordinance is declared void or unconstitutional, the remaining portions shall not be affected thereby and shall remain in full force and effect.",117,95.849609375
10,Text 86,"Ord. No. SP- 3315 , S-2024 Page -10- PO22CC-317",122,49.31640625
10,Text 87,"SECTION 10. EFFECTIVITY CLAUSE. - This Ordinance shall be posted at prominent places in the City Hall, for a minimum period of 3 consecutive weeks and shall also be published in a newspaper of general circulation, within the territorial jurisdiction of the City. This Ordinance shall take effect on the day following its publication.",123,92.1875
10,Text 88,"ENACTED: July 29, 2024.",124,77.197265625
10,Text 89,GIAN G. SOTTO Robert City Vice Mayor Presiding Officer,125,86.083984375
10,Text 90,ATTESTED:,126,90.0390625
10,Text 91,"ATTY. ALFEROS, III JOHN THOMAS City Government Department Head III (City Council Secretary)",128,93.603515625
10,Text 92,APPROVED: OCT 21 2024,129,84.5703125
10,Text 93,N MA. JOSEFINA G. BELMONTE City Mayor,130,95.60546875
10,Text 94,CERTIFICATION,131,91.259765625
10,Text 95,"This is to certify that this Ordinance was APPROVED by the City Council on Second Reading on July 29, 2024 and was PASSED on Third/Final Reading on August 5, 2024.",132,97.265625
10,Text 96,"ATTY. JOHN THOMAS S. ALFEROS, III City Government Department Head III (City Council Secretary) a Ax",133,95.166015625
